City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,Mataura,0,NZ,clear sky,83,-46.19,168.86,39.0,0.0,0,3.0
1,Aitape,60,PG,light rain,78,-3.14,142.35,83.7,0.71,0,6.44
2,Almonte,0,ES,clear sky,58,37.26,-6.52,72.0,0.0,0,6.15
3,Codrington,70,AU,light rain,80,-38.27,141.97,54.27,0.27,0,21.63
4,San Patricio,16,MX,few clouds,69,19.22,-104.7,80.8,0.0,0,2.98
5,Punta Arenas,98,CL,overcast clouds,93,-53.15,-70.92,37.4,0.0,0,5.82
6,Inhambane,20,MZ,mist,93,-23.86,35.38,55.4,0.0,0,6.62
7,Rikitea,73,PF,broken clouds,67,-23.12,-134.97,70.34,0.0,0,17.6
8,Shar,0,KZ,clear sky,24,49.59,81.05,69.44,0.0,0,3.29
9,Tambura,99,SS,overcast clouds,91,5.6,27.47,72.36,0.0,0,1.41
10,Hilo,90,US,overcast clouds,61,19.73,-155.09,78.8,0.0,0,3.36
11,Belfast,100,GB,overcast clouds,76,54.58,-5.93,55.0,0.0,0,13.87
12,Santo Antonio Do Amparo,1,BR,clear sky,89,-20.95,-44.92,56.62,0.0,0,0.89
13,Gobabis,0,NA,clear sky,74,-22.45,18.97,35.6,0.0,0,2.24
14,Tual,1,ID,clear sky,80,-5.67,132.75,80.13,0.0,0,19.93
15,Butaritari,67,KI,broken clouds,75,3.07,172.79,83.32,0.0,0,12.08
16,Busselton,99,AU,moderate rain,33,-33.65,115.33,66.0,1.9,0,25.5
17,Kahului,40,US,scattered clouds,51,20.89,-156.47,82.4,0.0,0,11.41
18,Qaanaaq,91,GL,overcast clouds,73,77.48,-69.36,38.8,0.0,0,6.6
19,Lompoc,90,US,overcast clouds,93,34.64,-120.46,57.2,0.0,0,6.93
20,Rehoboth,21,NA,few clouds,51,-23.32,17.08,45.05,0.0,0,4.65
21,Dhola,93,IN,overcast clouds,45,21.88,71.78,95.13,0.0,0,12.5
22,Vao,0,NC,clear sky,66,-22.67,167.48,69.87,0.0,0,11.07
23,Tuktoyaktuk,75,CA,broken clouds,71,69.45,-133.04,50.0,0.0,0,9.17
24,Hermanus,72,ZA,broken clouds,96,-34.42,19.23,48.0,0.0,0,5.95
25,Boa Vista,75,BR,broken clouds,88,2.82,-60.67,75.2,0.0,0,2.24
26,Praia Da Vitoria,40,PT,scattered clouds,77,38.73,-27.07,66.2,0.0,0,13.18
27,Sawtell,26,AU,scattered clouds,52,-30.38,153.1,64.4,0.0,0,6.93
28,Iqaluit,90,CA,overcast clouds,76,63.75,-68.51,39.2,0.0,0,4.32
29,Tarata,0,BO,clear sky,54,-17.62,-66.02,53.6,0.0,0,4.7
30,Sorland,0,NO,clear sky,72,67.67,12.69,60.8,0.0,0,16.11
31,Khatanga,78,RU,broken clouds,40,71.97,102.5,72.37,0.0,0,1.86
