City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Almonte,ES,72.0,37.26,-6.52,
7,Rikitea,PF,70.34,-23.12,-134.97,
8,Shar,KZ,69.44,49.59,81.05,
9,Tambura,SS,72.36,5.6,27.47,
10,Hilo,US,78.8,19.73,-155.09,
22,Vao,NC,69.87,-22.67,167.48,
25,Boa Vista,BR,75.2,2.82,-60.67,
26,Praia Da Vitoria,PT,66.2,38.73,-27.07,
27,Sawtell,AU,64.4,-30.38,153.1,
30,Sorland,NO,60.8,67.67,12.69,
31,Khatanga,RU,72.37,71.97,102.5,
33,Nikolskoye,RU,64.0,59.7,30.79,
41,Saskylakh,RU,72.99,71.92,114.08,
42,Albany,US,75.0,42.6,-73.97,
43,Rovaniemi,FI,64.4,66.5,25.72,
44,Lata,PT,63.0,40.16,-8.33,
45,Santa Cruz,BO,71.6,-17.8,-63.17,
48,Mahebourg,MU,73.4,-20.41,57.7,
52,Iquitos,PE,71.33,-3.75,-73.25,
53,Svetlogorsk,BY,66.78,52.63,29.73,
56,Cherskiy,RU,67.91,68.75,161.3,
57,Ribeira Grande,PT,66.24,38.52,-28.7,
59,Peruibe,BR,70.36,-24.32,-47.0,
61,Kita,ML,79.48,13.03,-9.49,
62,Puerto Ayora,EC,68.0,-0.74,-90.35,
64,Chokurdakh,RU,66.61,70.63,147.92,
65,Guerrero Negro,MX,62.24,27.98,-114.06,
77,Mocajuba,BR,71.82,-2.58,-49.51,
80,Port Macquarie,AU,63.0,-31.43,152.92,
84,Trinidad,BO,74.39,-14.83,-64.9,
95,Yozgat,TR,68.49,39.58,35.33,
103,Namibe,AO,68.74,-15.2,12.15,
104,Alamosa,US,64.4,37.47,-105.87,
105,Teya,RU,77.32,60.38,92.63,
106,Belgrade,RS,62.6,44.8,20.47,
107,Taos,US,62.6,36.41,-105.57,
111,Tiznit,MA,65.7,29.58,-9.5,
113,Turukhansk,RU,67.35,65.82,87.98,
115,Bismarck,US,62.6,46.81,-100.78,
116,Vaini,TO,78.8,-21.2,-175.2,
118,Yellowknife,CA,71.01,62.46,-114.35,
126,Innisfail,AU,73.44,-17.53,146.03,
130,Blackwater,AU,70.25,-23.58,148.88,
131,San Isidro,PE,62.6,-12.12,-77.05,
133,Union,US,75.2,40.63,-74.27,
134,Jalu,LY,72.12,29.03,21.55,
137,Cabo San Lucas,MX,79.0,22.89,-109.91,
141,Laguna,US,72.0,38.42,-121.42,
142,Alofi,NU,77.0,-19.06,-169.92,
143,Arraial Do Cabo,BR,72.45,-22.97,-42.03,
149,Vila Velha,BR,66.0,-20.33,-40.29,
152,Calabozo,VE,73.31,8.92,-67.43,
153,Geraldton,AU,78.8,-28.77,114.6,
154,Grand Gaube,MU,72.0,-20.01,57.66,
155,Nome,US,70.0,64.5,-165.41,
157,Gualan,GT,75.16,15.13,-89.37,
159,Quelimane,MZ,66.2,-17.88,36.89,
165,Shelburne,CA,68.0,44.08,-80.2,
166,Gladstone,AU,71.6,-23.85,151.25,
168,Crotone,IT,71.46,39.09,17.12,
169,Mombaca,BR,65.34,-5.74,-39.63,
172,Itarema,BR,75.09,-2.92,-39.92,
174,Mandurah,AU,68.0,-32.55,115.7,
175,Am Timan,TD,78.8,11.03,20.28,
176,Imbituba,BR,69.8,-28.24,-48.67,
177,Sanmenxia,CN,74.01,34.77,111.18,
181,Katsuura,JP,69.8,35.13,140.3,
182,Avarua,CK,71.6,-21.21,-159.78,
186,Avera,US,72.0,33.19,-82.53,
189,Kyabe,TD,75.22,9.45,18.94,
194,Ust-Maya,RU,68.86,60.42,134.53,
199,Cayenne,GF,77.0,4.93,-52.33,
200,Los Llanos De Aridane,ES,69.8,28.66,-17.92,
202,Timizart,DZ,71.42,36.8,4.27,
203,Strelka,RU,73.22,58.07,93.03,
204,Santa Lucia,ES,69.8,27.91,-15.54,
208,Odessa,UA,73.4,46.48,30.73,
211,Skhisma,GR,75.0,35.27,25.72,
212,Abha,SA,77.0,18.22,42.51,
215,Ginir,ET,68.56,7.13,40.7,
216,Salinopolis,BR,77.59,-0.61,-47.36,
217,Jamestown,US,66.2,42.1,-79.24,
219,Talnakh,RU,64.4,69.49,88.4,
220,Maceio,BR,69.8,-9.67,-35.74,
222,Santiago Del Estero,AR,60.26,-27.8,-64.26,
223,Ilo,PE,60.73,-17.64,-71.34,
225,Caravelas,BR,65.93,-17.71,-39.25,
229,Niksic,ME,69.8,42.77,18.94,
232,Kasongo-Lunda,CD,62.69,-6.47,16.82,
234,Chimbote,PE,61.43,-9.09,-78.58,
238,Zyryanovsk,KZ,62.74,49.74,84.27,
239,Cidreira,BR,67.01,-30.18,-50.21,
240,Sao Filipe,CV,76.33,14.9,-24.5,
245,Kautokeino,NO,61.81,69.01,23.04,
254,Nouadhibou,MR,72.84,20.93,-17.03,
258,Saint-Philippe,RE,77.0,-21.36,55.77,
260,Palmer,US,73.4,42.16,-72.33,
262,Bollnas,SE,67.42,61.35,16.39,
264,Bethel,US,68.0,41.37,-73.41,
265,Vila Franca Do Campo,PT,64.4,37.72,-25.43,
268,Sao Joao Da Barra,BR,70.0,-21.64,-41.05,
271,Saint Anthony,US,64.99,45.02,-93.22,
273,Kindu,CD,73.74,-2.95,25.95,
275,Kungalv,SE,60.01,57.87,11.98,
277,Pamyat Parizhskoy Kommuny,RU,64.4,56.1,44.5,
279,Omagari,JP,78.8,39.45,140.48,
284,Gualaquiza,EC,61.77,-3.4,-78.55,
287,Mananjary,MG,72.25,-21.22,48.33,
289,Lewistown,US,66.99,40.6,-77.57,
290,Bambous Virieux,MU,73.4,-20.34,57.76,
