City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapurthala,31.38,75.38,93.2,56,37,12.75,IN,2020-06-21 05:40:53
1,Hermanus,-34.42,19.23,57.0,93,10,7.0,ZA,2020-06-21 05:40:53
2,Butaritari,3.07,172.79,83.73,76,69,12.59,KI,2020-06-21 05:40:53
3,Albany,42.6,-73.97,73.0,73,10,1.66,US,2020-06-21 05:40:53
4,Zlynka,52.43,31.74,69.8,83,75,8.95,RU,2020-06-21 05:40:54
5,Jamestown,42.1,-79.24,64.99,93,1,3.36,US,2020-06-21 05:40:43
6,Yeppoon,-23.13,150.73,75.2,44,90,6.4,AU,2020-06-21 05:40:56
7,Passo De Camaragibe,-9.24,-35.49,73.4,94,75,5.82,BR,2020-06-21 05:40:56
8,Valleyview,55.07,-117.29,54.27,97,100,5.75,CA,2020-06-21 05:40:56
9,Jian,27.12,114.98,92.03,63,100,8.37,CN,2020-06-21 05:40:56
10,Leningradskiy,69.38,178.42,50.65,58,37,10.71,RU,2020-06-21 05:40:57
11,Caravelas,-17.71,-39.25,69.48,83,2,4.09,BR,2020-06-21 05:40:57
12,Kapaa,22.08,-159.32,78.8,78,75,13.87,US,2020-06-21 05:40:08
13,Busselton,-33.65,115.33,62.01,40,0,6.35,AU,2020-06-21 05:40:34
14,Norman Wells,65.28,-126.83,60.8,93,90,6.93,CA,2020-06-21 05:40:58
15,Mataura,-46.19,168.86,39.0,83,1,3.0,NZ,2020-06-21 05:40:58
16,Hasaki,35.73,140.83,78.01,78,75,12.75,JP,2020-06-21 05:40:59
17,Mae Ramat,16.98,98.52,87.8,66,40,2.24,TH,2020-06-21 05:40:59
18,Barrow,71.29,-156.79,37.4,86,75,10.29,US,2020-06-21 05:38:21
19,Bengkulu,-3.8,102.27,84.18,69,100,8.61,ID,2020-06-21 05:40:59
20,Svetlaya,46.54,138.33,53.8,72,100,10.33,RU,2020-06-21 05:41:00
21,Saskylakh,71.92,114.08,82.35,33,94,5.84,RU,2020-06-21 05:41:00
22,Saint-Philippe,-21.36,55.77,73.4,64,53,8.05,RE,2020-06-21 05:41:01
23,Dire Dawa,9.59,41.87,81.77,41,0,4.79,ET,2020-06-21 05:41:01
24,Punta Arenas,-53.15,-70.92,33.8,87,99,9.17,CL,2020-06-21 05:40:27
25,Kununurra,-15.77,128.73,91.4,25,11,12.75,AU,2020-06-21 05:41:02
26,Waw,7.7,28.0,75.54,80,82,8.97,SS,2020-06-21 05:41:02
27,Lasa,46.62,10.7,54.0,87,40,5.82,IT,2020-06-21 05:41:02
28,Remedios,22.49,-79.55,77.0,94,20,2.24,CU,2020-06-21 05:41:04
29,Nikolskoye,59.7,30.79,62.01,59,17,8.95,RU,2020-06-21 05:40:43
